word,ipa
thesaurus,/θɪˈsɔːɹəs/
encyclopedia,/ənˌsəɪ.kləˈpi.di.ə/
portmanteau,/pɔːtˈmæn.təʊ/
gratis,/ˈɡɹɑː.tɪs/
word,/wɜːd/
livre,/ˈliːvɹə/
pound,/paʊnd/
GDP,/ˌd͡ʒiːdiːˈpiː/
pies,/paɪz/
nonsense,/ˈnɒn.səns/
crow,/kɹəʊ/
elephant,/ˈɛlɪf(ə)nt/
brown,/bɹaʊn/
December,/dɪˈsɛmbə/
floccinaucinihilipilification,/ˌflɒksɪˌnɔːsɪˌnɪhɪlɪˌpɪlɪfɪˈkeɪʃn/
January,/ˈd͡ʒæn.j(ʊ.)ə.ɹi/
February,/ˈfɛb.ɹʊ.ə.ɹi/
march,/mɑːtʃ/
April,/ˈeɪ.pɹɪl/
august,/ˈɔː.ɡəst/
October,/ɒkˈtəʊ.bə/
multiculturalism,/ˌmʌltɪˈkʌltʃəɹəˌlɪz(ə)m/
day,/deɪ/
Monday,/ˈmʌn.deɪ/
Tuesday,/ˈtjuːzdeɪ/
Wednesday,/ˈwɛnzdeɪ/
Thursday,/ˈθɜːzdeɪ/
Sunday,/ˈsʌn.deɪ/
lexicography,/ˌlɛksɪˈkɒɡɹəfi/
connotation,/ˌkɒnəˈteɪʃən/
denotation,/ˌdiː.noʊˈteɪ.ʃən/
dialect,/ˈdaɪ.əˌlɛkt/
hyponym,/ˈhaɪpəʊ.nɪm/
semantics,/sɪˈmæntɪks/
alphabetical,/ˌæl.fəˈbɛt.ɪ.kəl/
swap,-ɒp
swop,/swɑp/
polysemic,/pəˈlɪs.ɪ.mɪk/
trade,/tɹeɪd/
verb,/vɜːb/
adjective,/ˈæd͡ʒ.ɪk.tɪv/
adjectival,/ˌædʒɛkˈtaɪ.vəl/
substantive,/ˈsʌbstəntɪv/
patronage,/ˈpeɪtɹənɪd͡ʒ/
merchandise,/ˈmɜːt͡ʃəndaɪs/
wares,/wɛəz/
product,/ˈpɹɒd.əkt/
eagle,/ˈiɡəl/
sesquipedalianism,/sɛz.kwɪ.pəˈdɛl.i.ən.ɪsm̩/
pneumonoultramicroscopicsilicovolcanoconiosis,/ˌnjuːmə.nəʊ.ʌl.tɹə.maɪ.kɹəʊˌskɒ.pɪkˌsɪ.lɪ.kəʊ.vɒl.keɪ.nəʊ.kəʊ.niˈəʊ.sɪs/
antidisestablishmentarianism,/ˌæntiˌdɪsɪˌstæblɪʃmənˈtɛəɹiəˌnɪz(ə)m/
fa,/fɑ/
fabaceous,/fəˈbeɪʃəs/
fabella,/fəˈbɛlə/
a-,/ə/
aam,/ɑːm/
aardvark,/ˈɑːd.vɑːk/
aardwolf,/ˈɑːdˌwʊlf/
Aaronic,/æɹˈɒn.ɪk/
ab,/æb/
abacination,/əˌbæsɪˈneɪʃən/
abaciscus,/ˌæb.əˈsɪs.kəs/
abacist,/ˈæb.ə.sɪst/
aback,/əˈbæk/
abactinal,/æˈbæk.tə.nl̩/
abactor,/ˈæˌbæk.tɚ/
abaculus,/əˈbæk.jə.ləs/
abacus,/ˈæbəkəs/
abaft,/əˈbɑːft/
abaisance,/əˈbeɪzəns/
abaiser,/əˈbeɪ.sɚ/
abalienate,/æbˈeɪl.jəˌneɪt/
abalienation,/ˌæbˌeɪl.jəˈneɪ.ʃən/
abalone,/æb.əˈləʊ.ni/
aband,/əˈbænd/
abandon,/əˈbæn.dən/
abandoned,/əˈbæn.dənd/
abandonedly,/əˈbæn.dn̩.əd.li/
abandonee,/əˈbæn.dəˌni/
abandoner,/əˈbændənɚ/
abandonment,/əˈbæn.dn̩.mn̩t/
abarticulation,/æb.ɑɹˌtɪk.jʊˈleɪ.ʃən/
abase,/əˈbeɪs/
abased,/əˈbeɪst/
abasedly,/əˈbeɪs.ɪd.li/
abasement,/əˈbeɪs.mənt/
abaser,/əˈbeɪs.ɚ/
abash,/əˈbæʃ/
abashedly,/əˈbæʃ.ɪd.li/
abashment,/əˈbæʃ.mənt/
abassi,/əˈbɑ.si/
abatable,/əˈbeɪt.ə.bəl/
abate,/əˈbeɪt/
abater,/əˈbeɪ.tɚ/
abatised,/ˈæb.əˌtɪst/
abator,/əˈbeɪt.ə/
abattoir,/ˈæb.əˌtwɑː(ɹ)/
abature,/ˈæb.ə.tjʊɹ/
abatvoix,/ɑˌbɑvˈwɑ/
abaxial,/ˌæˈbæk.si.əl/
abay,/əˈbeɪ/
abb,/æb/
abba,/ˈæb.ə/
abbacy,/ˈæb.ə.si/
abbatial,/əˈbeɪ.ʃl̩/
abbey,/ˈæb.i/
abbotship,/ˈæ.bət.ʃɪp/
